Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID
air circulator,,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_3_0,3_0,3821
air circulator,,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_4_0,4_0,3821
alto saxophone,,NA,NA,NA,NA,No,No,No,NA,3400,850,Yellow,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,For sale,FtrAltosax,NA,846
anatomical model,,NA,NA,NA,NA,No,No,No,NA,3500,875,Colorful,Beige,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,No,Hospital,Does not play music,No lighting,For sale,FtrAnatomicalmodel,NA,1317
anchor statue,,Black,Color,NA,NA,No,Yes,No,2,NFS,1400,Black,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_0_0,0_0,7238
anchor statue,,Silver,Color,NA,NA,No,Yes,No,2,NFS,1400,Gray,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_1_0,1_0,7238
anchor statue,,Gold,Color,NA,NA,No,Yes,No,2,NFS,1400,Brown,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_2_0,2_0,7238
anchor statue,,White,Color,NA,NA,No,Yes,No,2,NFS,1400,White,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_3_0,3_0,7238
anchor statue,,Blue,Color,NA,NA,No,Yes,No,2,NFS,1400,Blue,White,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_4_0,4_0,7238
anchor statue,,Retro,Color,NA,NA,No,Yes,No,2,NFS,1400,Brown,Gray,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_5_0,5_0,7238
angled signpost,,Home,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_0_0,0_0,7867
angled signpost,,Forest,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_1_0,1_0,7867
angled signpost,,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_2_0,2_0,7867
angled signpost,,Resident Services,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_3_0,3_0,7867
angled signpost,,Airport,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_4_0,4_0,7867
angled signpost,,Shop,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_5_0,5_0,7867
angled signpost,,Tailors,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_6_0,6_0,7867
angled signpost,,Museum,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_7_0,7_0,7867
antique bed,,Brown,NA,NA,NA,No,No,No,NA,28000,7000,Brown,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_0_0,0_0,3957
antique bed,,Natural,NA,NA,NA,No,No,No,NA,28000,7000,Beige,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_1_0,1_0,3957
antique bed,,Black,NA,NA,NA,No,No,No,NA,28000,7000,Black,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_2_0,2_0,3957
antique bureau,,Brown,NA,NA,NA,No,No,No,NA,20000,5000,Brown,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_0_0,0_0,3956
antique bureau,,Natural,NA,NA,NA,No,No,No,NA,20000,5000,Beige,Beige,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_1_0,1_0,3956
antique bureau,,Black,NA,NA,NA,No,No,No,NA,20000,5000,Black,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_2_0,2_0,3956
antique chair,,Brown,NA,NA,NA,No,No,No,NA,10000,2500,Brown,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_0_0,0_0,3950
antique chair,,Natural,NA,NA,NA,No,No,No,NA,10000,2500,Beige,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_1_0,1_0,3950
antique chair,,Black,NA,NA,NA,No,No,No,NA,10000,2500,Black,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_2_0,2_0,3950
antique clock,,Brown,NA,NA,NA,No,No,No,NA,44000,11000,Brown,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_0_0,0_0,3954
antique clock,,Natural,NA,NA,NA,No,No,No,NA,44000,11000,Beige,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_1_0,1_0,3954
antique clock,,Black,NA,NA,NA,No,No,No,NA,44000,11000,Black,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_2_0,2_0,3954
antique console table,,Brown,NA,NA,NA,No,No,No,NA,17000,4250,Brown,Brown,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_0_0,0_0,3951
antique console table,,Natural,NA,NA,NA,No,No,No,NA,17000,4250,Beige,Beige,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_1_0,1_0,3951
antique console table,,Black,NA,NA,NA,No,No,No,NA,17000,4250,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_2_0,2_0,3951
antique mini table,,Brown,NA,NA,NA,No,No,No,NA,6700,1675,Brown,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_0_0,0_0,3958
antique mini table,,Natural,NA,NA,NA,No,No,No,NA,6700,1675,Beige,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_1_0,1_0,3958
antique mini table,,Black,NA,NA,NA,No,No,No,NA,6700,1675,Black,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_2_0,2_0,3958
antique table,,Brown,NA,NA,NA,No,No,No,NA,25000,6250,Brown,Brown,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_0_0,0_0,3952
antique table,,Natural,NA,NA,NA,No,No,No,NA,25000,6250,Beige,Beige,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_1_0,1_0,3952
antique table,,Black,NA,NA,NA,No,No,No,NA,25000,6250,Black,Black,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_2_0,2_0,3952
antique vanity,,Brown,NA,NA,NA,No,No,No,NA,31000,7750,Brown,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_0_0,0_0,3955
antique vanity,,Natural,NA,NA,NA,No,No,No,NA,31000,7750,Beige,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_1_0,1_0,3955
antique vanity,,Black,NA,NA,NA,No,No,No,NA,31000,7750,Black,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_2_0,2_0,3955
antique wardrobe,,Brown,NA,NA,NA,No,No,No,NA,37000,9250,Brown,Brown,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_0_0,0_0,3959
antique wardrobe,,Natural,NA,NA,NA,No,No,No,NA,37000,9250,Beige,Beige,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_1_0,1_0,3959
antique wardrobe,,Black,NA,NA,NA,No,No,No,NA,37000,9250,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_2_0,2_0,3959
apple chair,,Red apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,Red,Yellow,1x1,Crafting,,1.0.0,fancy,None,fruits,apple,Yes,Chair,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_0_0,0_0,4134
apple chair,,Green apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,Green,Yellow,1x1,Crafting,,1.0.0,fancy,None,fruits,apple,Yes,Chair,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_1_0,1_0,4134
Aquarius urn,,NA,NA,NA,NA,Yes,No,No,NA,NFS,22125,White,Yellow,1x1,Crafting,,1.0.0,expensive,bathroom,stars,None,No,Bathroom Things,Does not play music,No lighting,Not for sale,FtrZodiacAquarius,NA,5956
arcade combat game,,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameShooting,NA,8226
arcade fighting game,,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Red,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameFight,NA,8225
arcade mahjong game,,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Green,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameMahjong,NA,8227
arcade seat,,Red,NA,NA,NA,No,No,No,NA,1300,325,Red,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_0_0,0_0,12207
arcade seat,,Gray,NA,NA,NA,No,No,No,NA,1300,325,Gray,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_1_0,1_0,12207
arcade seat,,Blue,NA,NA,NA,No,No,No,NA,1300,325,Blue,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_2_0,2_0,12207
Aries rocking chair,,NA,NA,NA,NA,Yes,No,No,NA,NFS,12125,White,Yellow,1x1,Crafting,,1.0.0,expensive,fancy,stars,None,Yes,Toy,Does not play music,No lighting,Not for sale,FtrZodiacAries,NA,5954
artisanal bug cage,,NA,NA,NA,NA,No,No,No,NA,NFS,450,Brown,Brown,2x1,Bug-Off,,1.0.0,garden,facility,None,None,Yes,Ranch,Does not play music,No lighting,Not for sale,FtrEventobjInsectBox,NA,7839
asteroid,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4000,Black,Black,1x1,Crafting,,1.0.0,space,facility,None,None,Yes,Space,Does not play music,No lighting,Not for sale,FtrMeteo,NA,1439
astronaut suit,,NA,NA,NA,NA,Yes,No,No,NA,NFS,6250,White,Black,1x1,Crafting,,1.0.0,space,None,None,None,No,Space,Does not play music,No lighting,Not for sale,FtrSpacesuit,NA,1445
automatic washer,,White,NA,NA,NA,No,No,No,NA,4500,1125,White,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_0_0,0_0,2740
automatic washer,,Pink,NA,NA,NA,No,No,No,NA,4500,1125,Red,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_1_0,1_0,2740
automatic washer,,Blue,NA,NA,NA,No,No,No,NA,4500,1125,Blue,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_2_0,2_0,2740
automatic washer,,Green,NA,NA,NA,No,No,No,NA,4500,1125,Green,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_3_0,3_0,2740
automatic washer,,Yellow,NA,NA,NA,No,No,No,NA,4500,1125,Yellow,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_4_0,4_0,2740
automatic washer,,Black,NA,NA,NA,No,No,No,NA,4500,1125,Black,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_5_0,5_0,2740
baby chair,,Red,NA,Bear,Cushion,No,No,Yes,1,1200,300,Red,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_0,0_0,3305
baby chair,,Red,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,Red,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_1,0_1,3305
baby chair,,Red,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,Red,Orange,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_2,0_2,3305
baby chair,,Red,NA,Train,Cushion,No,No,Yes,1,1200,300,Red,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_3,0_3,3305
baby chair,,Red,NA,Paw print,Cushion,No,No,Yes,1,1200,300,Red,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_0_4,0_4,3305
baby chair,,Pink,NA,Bear,Cushion,No,No,Yes,1,1200,300,Pink,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_0,1_0,3305
baby chair,,Pink,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,Pink,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_1,1_1,3305
baby chair,,Pink,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,Pink,Orange,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_2,1_2,3305
baby chair,,Pink,NA,Train,Cushion,No,No,Yes,1,1200,300,Pink,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_3,1_3,3305
baby chair,,Pink,NA,Paw print,Cushion,No,No,Yes,1,1200,300,Pink,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_1_4,1_4,3305
baby chair,,Yellow,NA,Bear,Cushion,No,No,Yes,1,1200,300,Yellow,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_0,2_0,3305
baby chair,,Yellow,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,Yellow,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_1,2_1,3305
baby chair,,Yellow,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,Yellow,Orange,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_2,2_2,3305
baby chair,,Yellow,NA,Train,Cushion,No,No,Yes,1,1200,300,Yellow,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_3,2_3,3305
baby chair,,Yellow,NA,Paw print,Cushion,No,No,Yes,1,1200,300,Yellow,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_4,2_4,3305
baby chair,,Green,NA,Bear,Cushion,No,No,Yes,1,1200,300,Green,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_0,3_0,3305
baby chair,,Green,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,Green,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_1,3_1,3305
baby chair,,Green,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,Green,Orange,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_2,3_2,3305
baby chair,,Green,NA,Train,Cushion,No,No,Yes,1,1200,300,Green,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_3,3_3,3305
baby chair,,Green,NA,Paw print,Cushion,No,No,Yes,1,1200,300,Green,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_3_4,3_4,3305
baby chair,,Blue,NA,Bear,Cushion,No,No,Yes,1,1200,300,Blue,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_4_0,4_0,3305
baby chair,,Blue,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,Blue,Colorful,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrBabychair_Remake_4_1,4_1,3305
